age,tenure_months,monthly_charges,total_usage_hours,support_calls,payment_delays,contract_type,internet_service,payment_method,churn
56,50,25.59,267.5,4,5,Monthly,Premium,Bank Transfer,0
46,62,,139.68,6,4,Monthly,Premium,UPI,1
59,62,127.03,96.69,1,4,Yearly,Premium,Credit Card,1
43,7,121.66,143.46,5,1,Monthly,Premium,Debit Card,1
52,4,90.69,96.17,5,0,Yearly,Standard,Credit Card,0
67,6,32.98,147.22,4,5,Yearly,Premium,UPI,1
42,58,109.45,258.01,4,2,Yearly,Basic,Debit Card,1
41,22,51.45,178.1,2,5,Monthly,Standard,Debit Card,0
30,26,138.44,208.7,9,4,Monthly,Standard,Debit Card,1
24,3,128.97,110.04,9,1,Yearly,Standard,Bank Transfer,0
53,41,112.22,221.81,10,0,Monthly,Premium,Debit Card,0
62,60,143.35,200.32,11,2,Yearly,Basic,Bank Transfer,1
37,14,24.08,36.75,1,5,Yearly,Premium,Bank Transfer,1
18,12,115.71,172.22,6,2,Monthly,Standard,Credit Card,0
25,12,62.93,77.77,0,4,Yearly,Standard,Credit Card,0
63,13,137.79,241.42,5,2,Monthly,Standard,Debit Card,0
33,25,54.67,128.36,5,1,Monthly,Standard,UPI,0
31,45,114.23,298.41,2,2,Two-Year,Premium,Debit Card,0
29,19,134.09,28.66,1,3,Two-Year,Basic,Credit Card,1
68,55,25.42,234.32,11,1,Monthly,Basic,Debit Card,0
40,45,71.69,202.44,1,5,Two-Year,Standard,Credit Card,0
32,8,119.1,230.48,8,0,Monthly,Basic,Debit Card,1
45,53,79.14,92.95,10,0,Monthly,Standard,UPI,0
51,55,54.74,148.12,4,4,Monthly,Standard,Debit Card,1
19,32,48.57,239.16,6,4,Two-Year,Basic,UPI,1
49,51,37.1,70.53,11,3,Monthly,Standard,UPI,1
40,44,131.43,68.58,4,5,Yearly,Basic,Debit Card,1
39,70,94.8,165.76,6,0,Yearly,Standard,,0
68,18,29.93,157.55,3,0,Yearly,Basic,UPI,0
42,22,69.74,85.4,7,0,Monthly,Standard,Credit Card,0
39,37,67.81,90.12,10,0,Monthly,Basic,Credit Card,0
39,56,43.63,84.08,9,2,Monthly,Standard,UPI,1
66,59,76.62,231.68,10,5,Yearly,Standard,Bank Transfer,0
69,3,63.17,195.92,9,1,Yearly,Standard,Debit Card,1
59,28,,249.89,6,1,Yearly,Basic,UPI,1
23,35,116.07,292.67,9,3,Yearly,Premium,Debit Card,0
32,61,49.02,142.78,4,2,Monthly,Standard,Credit Card,0
60,54,103.44,20.94,10,0,Two-Year,Standard,Debit Card,0
54,63,,15.38,5,0,Yearly,Basic,UPI,1
50,7,93.85,89.4,4,4,Monthly,Standard,UPI,0
25,49,106.19,279.83,6,4,Monthly,Standard,UPI,1
61,31,91.29,157.44,11,3,Yearly,Standard,UPI,1
61,58,134.3,82.26,1,0,Two-Year,Standard,Bank Transfer,0
22,61,107.83,120.35,4,3,Monthly,Premium,Bank Transfer,0
56,24,91.11,179.98,9,2,Yearly,Premium,Bank Transfer,0
21,20,127.87,196.23,2,1,Monthly,Standard,UPI,0
23,37,98.8,47.02,8,0,Monthly,Standard,Bank Transfer,0
62,4,57.85,293.13,5,5,Yearly,Standard,Debit Card,0
49,20,46.92,163.89,9,2,Yearly,Premium,UPI,0
69,60,39.8,,2,0,Yearly,Premium,Credit Card,0
47,24,,268.2,6,5,Monthly,Basic,UPI,0
64,50,112.32,23.32,3,4,Monthly,Basic,Debit Card,0
52,49,141.86,272.41,2,3,Monthly,Standard,Bank Transfer,1
57,51,98.43,298.97,7,4,Monthly,Standard,UPI,0
69,36,81.54,,3,1,Monthly,Premium,Bank Transfer,0
33,66,27.76,231.36,10,4,Monthly,Standard,,1
30,34,107.31,101.85,0,0,Monthly,Standard,Debit Card,0
67,36,95.69,282.53,5,5,Monthly,Premium,UPI,1
59,6,148.73,159.38,9,4,Yearly,Premium,Bank Transfer,1
47,39,51.09,219.98,10,0,Monthly,Premium,Bank Transfer,0
36,42,89.0,277.31,10,1,Monthly,Premium,Debit Card,1
34,58,104.62,292.58,0,5,Yearly,Basic,UPI,0
36,12,103.8,250.13,4,4,Monthly,Premium,Credit Card,0
45,3,92.97,91.6,6,3,Yearly,Premium,UPI,1
43,18,121.0,290.0,5,3,Monthly,Standard,Debit Card,1
54,40,46.65,188.81,1,5,Monthly,Standard,Credit Card,1
43,21,114.33,279.26,10,3,Monthly,Standard,Debit Card,1
40,15,100.57,203.16,3,4,Monthly,Basic,UPI,0
26,26,136.49,92.86,10,4,Yearly,Premium,Credit Card,0
29,8,130.14,111.64,1,5,Two-Year,Premium,Debit Card,1
18,42,60.97,165.59,10,4,Monthly,Basic,Bank Transfer,0
18,44,55.91,237.21,0,0,Monthly,Premium,Credit Card,0
64,14,147.61,96.08,2,1,Yearly,Standard,Credit Card,1
51,2,88.54,174.34,2,3,Monthly,Basic,Debit Card,0
49,37,137.83,104.34,11,0,Yearly,Premium,Bank Transfer,0
65,69,41.3,244.92,6,5,Monthly,Basic,Credit Card,0
42,38,103.57,140.55,0,3,Two-Year,Basic,Debit Card,1
57,41,125.28,23.94,8,0,Monthly,Premium,Credit Card,1
62,62,143.16,50.65,10,4,Monthly,Standard,Credit Card,1
18,60,63.85,19.27,5,5,Two-Year,Premium,,1
33,14,114.25,150.29,3,5,Yearly,Premium,Bank Transfer,0
56,2,90.05,32.79,2,3,Monthly,Standard,UPI,1
22,70,27.88,35.13,2,4,Yearly,Premium,UPI,0
39,17,109.7,282.37,1,3,Yearly,Premium,Bank Transfer,1
46,28,109.71,261.92,1,2,Monthly,Premium,Bank Transfer,1
20,66,140.98,136.17,11,0,Yearly,Basic,Debit Card,0
29,35,84.65,295.76,9,2,Monthly,Basic,Credit Card,1
43,5,49.93,1.06,4,0,Yearly,Basic,Bank Transfer,0
33,65,25.79,184.58,8,1,Two-Year,Premium,Debit Card,1
68,40,74.03,185.31,1,5,Monthly,Standard,UPI,1
54,56,59.25,137.78,1,3,Monthly,Basic,UPI,0
39,36,118.94,119.69,11,1,Monthly,Standard,UPI,0
46,45,66.05,137.16,5,1,Monthly,Premium,UPI,1
31,23,143.38,125.07,9,5,Two-Year,Basic,Debit Card,1
45,47,,219.42,1,5,Monthly,Premium,Credit Card,0
22,31,100.72,41.47,11,0,Monthly,Standard,Debit Card,0
64,11,140.73,60.09,3,2,Yearly,Basic,Credit Card,0
66,10,118.91,54.97,5,4,Two-Year,Basic,UPI,1
47,67,91.09,79.48,4,0,Monthly,Basic,Bank Transfer,0
63,14,43.44,158.05,0,4,Yearly,Basic,Bank Transfer,1
69,10,79.62,34.25,5,1,Yearly,Standard,Bank Transfer,1
22,1,92.91,260.58,0,4,Two-Year,Basic,Credit Card,0
29,5,132.32,89.91,2,2,Yearly,Premium,UPI,1
33,20,82.57,49.6,9,0,Yearly,Basic,Debit Card,1
43,8,136.7,203.01,4,5,Monthly,Standard,Bank Transfer,1
43,43,107.67,12.39,9,2,Monthly,Basic,Credit Card,1
65,1,37.81,186.37,4,2,Yearly,Standard,Bank Transfer,0
38,57,,209.76,9,0,Two-Year,Standard,Debit Card,0
56,64,88.54,65.26,5,5,Two-Year,Premium,UPI,1
53,28,70.94,13.55,11,2,Two-Year,Basic,Debit Card,1
50,37,105.68,109.73,9,5,Monthly,Basic,UPI,0
47,47,34.16,30.48,7,3,Yearly,Basic,UPI,0
54,37,102.75,,4,3,Yearly,Premium,UPI,1
40,49,84.77,77.02,10,3,Yearly,Premium,Bank Transfer,0
27,44,72.87,89.34,0,4,Monthly,Standard,Debit Card,0
22,56,143.89,159.46,4,2,Monthly,Standard,Bank Transfer,1
53,28,87.93,203.84,2,0,Two-Year,Standard,Debit Card,1
51,6,48.49,178.24,3,0,Monthly,Premium,Credit Card,1
69,61,79.67,45.36,7,4,Two-Year,Premium,Credit Card,0
48,20,139.52,52.45,6,0,Monthly,Premium,Debit Card,1
27,2,42.89,263.75,10,3,Yearly,Standard,Debit Card,0
36,37,47.81,167.95,4,2,Yearly,Premium,Debit Card,1
49,20,21.69,261.11,1,0,Yearly,Standard,Debit Card,0
18,26,21.84,112.09,5,0,Monthly,Standard,UPI,0
22,29,127.82,184.71,10,1,Two-Year,Basic,Bank Transfer,0
62,1,115.18,157.58,5,1,Yearly,Basic,UPI,0
21,35,,96.42,9,1,Monthly,Basic,Bank Transfer,1
33,70,110.78,141.5,9,2,Yearly,Standard,Bank Transfer,0
41,59,71.38,151.24,10,3,Monthly,Basic,Bank Transfer,1
33,69,143.88,61.03,5,5,Monthly,Basic,UPI,0
19,33,145.72,95.19,8,3,Monthly,Basic,Debit Card,1
66,51,71.06,237.63,10,3,Two-Year,Premium,UPI,1
45,12,131.05,274.82,7,2,Monthly,Standard,UPI,1
49,20,120.5,108.58,7,2,Yearly,Basic,Bank Transfer,1
44,53,60.3,92.78,0,1,Monthly,Premium,Credit Card,0
37,43,50.17,59.36,4,0,Monthly,Premium,Credit Card,0
41,50,,203.87,6,4,Two-Year,Premium,UPI,0
29,29,121.58,97.61,5,4,Yearly,Basic,Bank Transfer,1
67,57,144.82,296.34,4,5,Two-Year,Premium,UPI,1
52,39,119.27,98.38,7,0,Monthly,Standard,UPI,0
50,56,131.18,118.85,2,5,Monthly,Premium,Debit Card,1
50,43,98.4,181.4,5,1,Two-Year,Premium,Bank Transfer,0
68,50,,240.7,4,5,Yearly,Premium,Credit Card,1
60,23,121.97,141.39,7,0,Monthly,Premium,Credit Card,1
54,44,69.01,127.37,3,0,Monthly,Standard,Credit Card,0
29,38,91.76,298.7,7,4,Yearly,Basic,UPI,0
20,23,124.62,4.14,9,1,Monthly,Standard,Bank Transfer,0
18,45,25.99,268.62,1,2,Yearly,Standard,Debit Card,1
50,52,125.05,45.59,8,5,Monthly,Basic,Credit Card,1
57,50,43.13,235.99,8,4,Monthly,Premium,Bank Transfer,0
27,8,86.91,185.76,9,5,Two-Year,Basic,Credit Card,0
60,1,125.08,103.21,9,5,Monthly,Basic,Debit Card,1
61,8,53.0,262.29,5,2,Monthly,Standard,Bank Transfer,1
46,29,51.95,4.86,3,1,Yearly,Basic,UPI,0
30,5,72.36,68.78,3,0,Monthly,Premium,UPI,0
29,47,136.3,170.5,5,3,Monthly,Standard,Credit Card,0
48,34,20.06,106.11,4,5,Yearly,Premium,Credit Card,0
63,65,137.18,183.5,5,3,Monthly,Standard,Bank Transfer,1
19,55,39.99,8.21,6,1,Monthly,Premium,Debit Card,0
68,43,148.71,35.82,6,3,Monthly,Basic,Credit Card,0
67,30,144.13,39.0,8,5,Yearly,Basic,Bank Transfer,0
52,17,84.31,57.6,7,2,Yearly,Basic,Debit Card,0
40,26,86.65,138.34,5,3,Yearly,Premium,Credit Card,0
34,8,82.6,225.89,11,1,Monthly,Standard,Credit Card,1
43,47,102.61,271.76,5,1,Yearly,Standard,,1
25,72,31.79,,4,2,Two-Year,Standard,Credit Card,1
46,46,24.24,59.87,0,3,Monthly,Basic,UPI,1
43,68,27.5,132.9,8,3,Yearly,Premium,Debit Card,1
27,33,77.77,60.62,8,0,Yearly,Standard,,1
43,1,55.82,80.08,8,4,Two-Year,Premium,UPI,1
51,19,100.87,151.56,10,1,Two-Year,Standard,Bank Transfer,1
68,31,149.02,21.36,7,0,Monthly,Basic,UPI,1
58,14,70.22,66.23,9,1,Monthly,Premium,UPI,1
24,53,94.6,280.68,2,0,Monthly,Standard,Debit Card,1
21,48,74.03,140.37,0,4,Monthly,Standard,Bank Transfer,0
67,69,130.15,134.17,10,0,Monthly,Standard,Credit Card,0
62,62,137.29,5.36,11,1,Yearly,Standard,UPI,0
28,66,134.06,74.97,11,3,Monthly,Basic,UPI,0
46,64,146.67,260.02,7,1,Monthly,Standard,Bank Transfer,0
53,70,23.58,50.22,6,5,Yearly,Standard,UPI,0
42,63,129.18,125.12,4,2,Monthly,Basic,Bank Transfer,0
38,33,117.73,5.28,9,2,Two-Year,Standard,Credit Card,0
53,41,49.73,144.02,6,5,Yearly,Premium,Bank Transfer,0
27,48,144.32,7.29,9,2,Monthly,Premium,Credit Card,1
54,13,39.26,246.06,3,2,Monthly,Standard,Bank Transfer,0
26,31,108.34,247.63,8,4,Monthly,Basic,UPI,1
41,68,49.24,236.53,10,3,Yearly,Basic,Credit Card,0
52,4,76.08,85.73,9,3,Monthly,Basic,UPI,0
66,19,113.49,251.33,1,1,Yearly,Standard,Credit Card,0
52,70,93.23,163.36,8,5,Yearly,Standard,Bank Transfer,0
65,13,75.58,112.77,8,0,Monthly,Premium,Bank Transfer,1
53,23,62.42,187.97,4,1,Two-Year,Basic,Bank Transfer,0
35,1,129.16,4.69,10,1,Monthly,Standard,Debit Card,1
66,54,38.7,43.75,0,1,Two-Year,Standard,Debit Card,1
56,71,75.91,222.95,6,1,Monthly,Standard,Credit Card,0
49,15,137.49,74.0,9,3,Yearly,Basic,Debit Card,1
41,65,129.96,179.8,9,0,Monthly,Basic,Bank Transfer,1
40,71,72.12,116.15,3,1,Yearly,Premium,Debit Card,0
49,15,119.2,,8,3,Monthly,Basic,Debit Card,1
54,21,127.01,285.77,5,1,Monthly,Standard,UPI,0
29,19,135.56,265.19,2,2,Yearly,Premium,Credit Card,1
66,60,90.79,81.92,5,1,Monthly,Basic,Credit Card,1
30,33,46.58,59.05,9,5,Yearly,Basic,Credit Card,0
40,49,53.19,142.86,5,5,Two-Year,Basic,Debit Card,1
42,35,58.44,3.19,4,1,Monthly,Basic,Bank Transfer,0
52,44,97.19,,1,4,Monthly,Standard,,0
58,11,24.27,166.43,9,2,Monthly,Basic,Credit Card,0
47,72,102.69,156.61,9,0,Yearly,Standard,Debit Card,0
34,66,67.37,298.38,1,1,Monthly,Standard,Bank Transfer,0
66,46,58.38,61.35,6,0,Monthly,Standard,UPI,0
37,9,134.33,78.17,1,2,Monthly,Premium,UPI,0
65,3,79.8,34.95,11,1,Monthly,Standard,Credit Card,1
42,26,32.36,275.35,5,4,Two-Year,Basic,Credit Card,0
39,72,127.48,233.57,4,3,Monthly,Premium,Bank Transfer,0
30,48,26.19,246.88,3,4,Yearly,Basic,Debit Card,0
36,66,114.48,270.93,6,4,Yearly,Standard,Bank Transfer,0
66,70,120.61,,7,3,Yearly,Basic,Credit Card,0
53,28,65.84,135.91,3,3,Monthly,Premium,Bank Transfer,0
29,26,127.22,99.79,0,5,Yearly,Premium,Debit Card,0
58,25,87.04,177.18,0,3,Two-Year,Basic,UPI,1
36,12,80.23,136.83,0,1,Monthly,Basic,UPI,1
29,5,25.9,136.02,10,0,Monthly,Basic,UPI,0
26,48,57.7,281.14,0,5,Monthly,Premium,UPI,0
24,37,141.03,295.23,4,5,Monthly,Standard,Credit Card,1
45,44,70.94,239.15,3,0,Monthly,Basic,Credit Card,1
31,15,91.07,227.27,8,5,Yearly,Standard,Debit Card,1
48,43,89.16,204.49,2,3,Monthly,Premium,Debit Card,0
69,48,96.76,50.66,6,4,Monthly,Basic,Debit Card,0
36,70,27.97,18.67,10,2,Yearly,Basic,Debit Card,0
64,46,67.08,207.53,7,3,Monthly,Premium,Bank Transfer,1
33,43,114.01,218.91,5,4,Yearly,Basic,Debit Card,1
22,21,46.07,15.04,11,4,Monthly,Standard,UPI,1
52,23,46.47,278.49,9,5,Two-Year,Premium,UPI,1
29,47,21.31,28.25,0,1,Monthly,Premium,UPI,0
42,15,76.87,86.48,7,1,Yearly,Basic,Bank Transfer,0
69,25,134.76,202.04,9,5,Yearly,Premium,Debit Card,1
38,36,26.75,51.79,2,5,Monthly,Basic,UPI,1
53,51,44.85,17.57,7,0,Monthly,Basic,UPI,1
40,15,60.31,100.01,11,0,Yearly,Premium,UPI,1
33,68,115.12,230.03,3,2,Monthly,Basic,UPI,1
56,21,103.28,124.69,7,2,Two-Year,Standard,Credit Card,1
62,13,74.07,196.24,10,2,Two-Year,Standard,Debit Card,1
59,19,118.68,174.31,0,2,Monthly,Basic,Debit Card,0
56,34,99.25,7.64,2,4,Monthly,Standard,Bank Transfer,0
31,68,136.49,,5,4,Monthly,Basic,Credit Card,0
48,52,126.34,13.39,8,0,Monthly,Standard,Bank Transfer,1
22,27,52.87,290.37,1,1,Yearly,Premium,UPI,0
52,29,55.29,165.41,10,5,Yearly,Basic,Bank Transfer,0
40,28,36.3,288.98,0,1,Monthly,Basic,UPI,1
46,35,63.81,35.31,9,3,Monthly,Basic,UPI,1
60,8,149.94,147.63,2,4,Monthly,Basic,Debit Card,1
28,16,72.75,51.68,3,2,Monthly,Basic,Debit Card,1
35,36,48.66,16.24,10,2,Yearly,Basic,Debit Card,1
64,30,119.12,185.64,4,3,Monthly,Premium,Debit Card,0
29,18,90.52,,2,1,Yearly,Premium,Debit Card,0
26,2,39.45,176.72,9,2,Yearly,Standard,Credit Card,1
27,49,69.49,34.6,10,1,Yearly,Basic,Debit Card,0
61,4,73.88,100.26,1,5,Monthly,Standard,Bank Transfer,0
34,7,118.0,234.71,1,3,Yearly,Standard,UPI,1
55,39,22.69,131.68,6,1,Yearly,Premium,Debit Card,0
24,13,54.97,188.7,8,5,Yearly,Standard,Credit Card,1
63,31,87.29,194.59,9,1,Monthly,Premium,Bank Transfer,1
30,71,54.95,253.28,1,1,Monthly,Standard,Bank Transfer,0
57,63,101.7,98.15,6,2,Yearly,Basic,UPI,1
59,56,82.64,206.5,6,0,Monthly,Standard,Bank Transfer,1
26,42,67.02,288.52,10,4,Monthly,Premium,Bank Transfer,1
67,61,143.4,219.34,6,1,Two-Year,Premium,Bank Transfer,0
44,42,102.18,147.47,2,1,Monthly,Premium,,0
19,56,36.89,189.58,11,1,Monthly,Standard,Credit Card,1
22,36,92.81,,6,0,Monthly,Standard,UPI,0
46,68,121.5,184.07,0,5,Yearly,Premium,Debit Card,1
54,7,112.1,5.99,9,3,Monthly,Basic,Bank Transfer,1
55,54,,59.24,0,2,Yearly,Basic,Credit Card,0
36,1,146.41,243.33,4,0,Monthly,Standard,UPI,0
25,44,78.35,82.52,1,5,Monthly,Standard,Debit Card,0
65,45,40.67,219.74,8,1,Yearly,Premium,UPI,0
62,47,,112.26,6,5,Monthly,Standard,Credit Card,1
18,13,32.77,157.04,3,0,Two-Year,Standard,Credit Card,0
39,22,124.46,21.32,3,0,Monthly,Premium,Credit Card,1
69,21,35.86,55.19,1,0,Monthly,Premium,Bank Transfer,0
34,9,36.27,287.2,4,3,Monthly,Standard,Credit Card,1
24,26,130.56,267.15,3,4,Monthly,Basic,Debit Card,1
42,9,64.8,196.03,11,2,Two-Year,Standard,Bank Transfer,1
62,15,24.01,138.43,0,3,Two-Year,Basic,UPI,1
21,10,26.75,203.05,11,3,Monthly,Basic,Debit Card,0
53,42,38.48,185.96,7,4,Yearly,Basic,Bank Transfer,0
23,72,47.74,171.0,2,3,Yearly,Premium,Credit Card,0
48,24,106.47,18.69,5,0,Monthly,Premium,UPI,0
36,49,40.45,190.21,3,0,Monthly,Premium,Credit Card,0
61,26,35.45,230.91,8,5,Two-Year,Standard,Debit Card,1
56,37,119.41,298.23,6,1,Two-Year,Premium,Debit Card,1
44,68,107.24,4.31,8,3,Two-Year,Premium,Bank Transfer,1
27,50,76.59,219.32,9,1,Yearly,Standard,Debit Card,1
43,24,91.41,171.97,2,2,Yearly,Standard,UPI,1
36,19,60.56,130.78,0,0,Monthly,Basic,Bank Transfer,1
56,60,82.73,39.14,4,5,Monthly,Standard,UPI,1
20,39,85.87,123.32,2,2,Monthly,Standard,Credit Card,1
62,18,70.34,106.96,5,5,Yearly,Premium,UPI,0
30,19,137.85,91.55,7,4,Yearly,Basic,UPI,1
67,36,22.09,219.53,10,0,Yearly,Basic,Debit Card,0
45,55,121.68,210.52,3,2,Two-Year,Standard,Credit Card,0
37,69,36.17,177.12,4,4,Two-Year,Premium,Debit Card,0
45,47,123.68,281.66,4,2,Two-Year,Premium,Credit Card,1
25,49,100.07,105.61,3,5,Monthly,Premium,,1
58,33,129.63,73.9,3,4,Yearly,Premium,UPI,1
56,21,32.68,,3,4,Yearly,Standard,Debit Card,1
18,22,,60.45,3,0,Monthly,Premium,UPI,1
20,48,,95.19,3,1,Two-Year,Basic,UPI,0
30,37,111.81,68.16,4,5,Two-Year,Basic,UPI,0
45,15,89.46,21.68,1,5,Monthly,Standard,Credit Card,1
66,35,90.3,248.42,1,4,Monthly,Premium,Debit Card,1
42,71,75.85,77.11,8,4,Yearly,Premium,Debit Card,1
50,32,60.15,142.44,1,0,Yearly,Premium,UPI,0
55,11,82.69,13.95,5,1,Two-Year,Premium,Credit Card,1
23,10,35.4,210.1,1,5,Monthly,Standard,Debit Card,0
61,57,145.0,99.84,4,3,Monthly,Premium,Bank Transfer,0
62,25,112.87,223.68,3,3,Monthly,Standard,Debit Card,1
49,2,143.82,124.31,11,1,Monthly,Premium,UPI,1
62,64,49.47,59.53,6,2,Monthly,Premium,Bank Transfer,0
64,35,134.31,154.44,6,0,Two-Year,Basic,Credit Card,1
38,7,125.14,40.02,5,1,Monthly,Standard,Bank Transfer,1
33,18,108.03,132.72,9,3,Monthly,Basic,Bank Transfer,1
38,67,101.25,95.87,4,4,Monthly,Standard,UPI,1
28,42,61.15,273.68,0,3,Monthly,Premium,Debit Card,0
54,39,126.13,19.22,11,4,Yearly,Premium,Credit Card,0
53,41,85.2,208.51,2,0,Yearly,Standard,Bank Transfer,0
52,24,29.22,55.64,8,4,Yearly,Basic,UPI,0
36,60,60.67,96.39,0,1,Monthly,Standard,Debit Card,0
37,46,141.59,125.24,4,4,Monthly,Standard,Bank Transfer,0
35,19,130.59,272.5,1,2,Monthly,Premium,UPI,0
64,68,147.65,73.53,3,1,Monthly,Basic,UPI,1
58,42,101.64,28.3,10,0,Yearly,Standard,UPI,1
66,32,52.18,96.29,0,1,Monthly,Basic,Credit Card,0
31,39,41.17,32.3,2,2,Yearly,Basic,Debit Card,0
32,36,44.3,39.45,9,0,Monthly,Standard,Bank Transfer,0
48,36,22.57,172.58,6,3,Yearly,Basic,Debit Card,0
18,3,70.79,19.21,9,2,Two-Year,Premium,Debit Card,1
20,8,44.89,10.25,2,0,Yearly,Premium,Bank Transfer,0
33,70,73.52,214.61,3,4,Yearly,Premium,Debit Card,1
40,41,141.55,109.13,1,1,Two-Year,Premium,Credit Card,1
28,68,75.97,38.49,2,0,Yearly,Basic,Bank Transfer,0
29,13,134.14,76.83,8,1,Monthly,Premium,Bank Transfer,1
27,49,98.72,192.98,2,4,Monthly,Standard,UPI,0
49,60,52.13,83.39,10,0,Yearly,Premium,Debit Card,0
33,2,66.26,148.86,4,3,Yearly,Standard,Bank Transfer,0
25,60,30.91,37.39,1,2,Monthly,Standard,Bank Transfer,0
55,5,63.35,176.84,3,0,Monthly,Premium,Credit Card,0
29,44,108.08,95.51,11,4,Two-Year,Premium,UPI,1
41,27,29.37,188.46,6,0,Monthly,Basic,Bank Transfer,0
45,32,46.7,242.71,6,1,Monthly,Standard,Credit Card,0
25,21,69.59,183.88,11,5,Monthly,Premium,Bank Transfer,1
45,8,147.67,89.43,2,0,Yearly,Basic,Bank Transfer,1
53,72,122.03,77.47,4,3,Monthly,Premium,Bank Transfer,0
43,50,115.35,98.9,0,0,Yearly,Premium,Credit Card,1
25,67,35.1,50.22,9,2,Monthly,Premium,Debit Card,0
67,44,121.53,55.17,9,0,Yearly,Standard,Bank Transfer,1
45,58,122.08,237.42,9,5,Yearly,Premium,Bank Transfer,0
45,3,98.14,116.04,10,1,Monthly,Basic,,0
54,70,148.75,131.36,0,0,Monthly,Premium,Bank Transfer,0
58,2,62.28,178.62,4,3,Monthly,Premium,UPI,1
53,44,142.37,177.31,9,4,Monthly,Basic,Bank Transfer,0
44,2,138.92,21.15,8,0,Yearly,Basic,UPI,0
34,35,21.49,249.63,0,0,Monthly,Standard,Debit Card,0
26,30,78.52,54.02,0,2,Yearly,Standard,Credit Card,0
50,8,147.02,217.2,3,3,Monthly,Standard,Debit Card,1
37,22,33.41,232.03,3,5,Monthly,Standard,Bank Transfer,0
30,44,91.21,214.75,1,4,Monthly,Basic,UPI,0
45,58,147.26,174.11,8,1,Yearly,Premium,Credit Card,1
65,36,92.21,5.37,8,0,Monthly,Premium,Bank Transfer,1
46,69,44.68,108.75,1,5,Yearly,Premium,Credit Card,1
30,31,95.68,181.85,8,4,Monthly,Standard,Credit Card,1
63,47,46.58,116.85,5,1,Monthly,Basic,Bank Transfer,0
52,55,87.56,259.18,7,5,Yearly,Basic,Debit Card,1
23,62,,93.33,9,3,Yearly,Basic,Bank Transfer,0
35,30,98.71,88.77,3,3,Monthly,Premium,Bank Transfer,0
68,55,87.18,80.53,1,4,Yearly,Standard,Debit Card,1
22,16,116.22,100.5,1,1,Monthly,Basic,UPI,0
64,12,101.99,167.66,8,3,Yearly,Standard,Bank Transfer,0
42,17,,212.4,0,4,Two-Year,Basic,Credit Card,0
19,16,109.67,199.11,11,3,Two-Year,Standard,Bank Transfer,1
27,12,38.71,242.51,6,3,Yearly,Basic,Bank Transfer,1
47,8,97.4,265.89,10,5,Monthly,Standard,Credit Card,1
67,3,42.37,245.01,2,5,Yearly,Basic,Debit Card,0
62,16,140.32,6.66,2,3,Monthly,Basic,UPI,0
22,30,28.88,221.04,1,2,Monthly,Standard,UPI,0
50,23,75.95,63.31,9,5,Monthly,Standard,Credit Card,1
18,5,110.45,40.75,5,1,Two-Year,Premium,Debit Card,1
35,65,79.54,191.91,9,4,Two-Year,Standard,Bank Transfer,0
49,30,31.97,96.6,1,4,Monthly,Basic,Bank Transfer,1
64,21,91.94,18.08,9,1,Yearly,Basic,Bank Transfer,0
66,70,103.41,42.15,3,1,Yearly,Standard,Bank Transfer,0
28,22,111.49,1.28,9,1,Monthly,Premium,Bank Transfer,1
38,72,68.52,271.06,8,1,Monthly,Standard,Credit Card,1
43,32,,8.36,8,0,Yearly,Basic,Bank Transfer,1
42,33,78.59,63.63,5,4,Monthly,Basic,Bank Transfer,1
39,16,107.37,125.46,3,0,Monthly,Premium,Debit Card,1
44,38,95.86,107.61,6,3,Yearly,Standard,Bank Transfer,1
66,14,88.35,273.61,0,3,Two-Year,Basic,UPI,1
30,36,52.44,13.05,11,4,Yearly,Basic,Credit Card,1
50,23,20.26,154.15,3,3,Yearly,Basic,Credit Card,0
51,66,42.63,204.46,4,1,Monthly,Standard,,1
58,2,35.22,279.58,7,0,Monthly,Standard,UPI,0
52,65,78.38,186.49,11,1,Yearly,Premium,Bank Transfer,0
18,67,99.59,241.32,1,3,Monthly,Basic,Credit Card,0
38,52,47.7,26.03,11,5,Two-Year,Basic,UPI,0
65,62,142.08,116.4,4,0,Monthly,Premium,Debit Card,1
23,23,20.87,112.81,5,1,Monthly,Basic,Bank Transfer,0
45,26,120.4,266.0,4,4,Monthly,Premium,UPI,0
34,68,101.28,46.26,8,1,Two-Year,Premium,Bank Transfer,0
22,55,68.56,46.41,9,5,Monthly,Basic,Debit Card,1
48,6,26.56,99.24,0,3,Monthly,Standard,UPI,1
22,35,101.57,17.29,2,0,Monthly,Standard,Bank Transfer,1
55,22,70.13,55.55,1,4,Yearly,Standard,UPI,0
20,43,141.71,289.6,11,0,Monthly,Standard,Credit Card,0
40,15,90.46,129.03,2,4,Monthly,Basic,Bank Transfer,1
54,60,142.15,189.97,9,0,Monthly,Premium,UPI,0
54,12,48.66,218.11,8,3,Yearly,Premium,Credit Card,0
27,49,114.34,110.72,8,4,Monthly,Basic,Debit Card,1
27,42,100.24,45.02,9,2,Monthly,Standard,Bank Transfer,0
36,38,,62.77,1,0,Monthly,Premium,Bank Transfer,0
34,45,47.91,94.67,2,0,Yearly,Basic,Debit Card,1
38,35,106.45,191.18,3,1,Yearly,Basic,Credit Card,0
31,30,84.75,120.09,8,4,Monthly,Standard,Debit Card,1
26,30,116.57,3.04,2,5,Two-Year,Basic,Bank Transfer,0
